Explored_history,Best_history,Start_time,End_time,Break_start,Break_end,Staff_number
1218.0,1205.0,0.0,4.0,13.0,13.0,0.0
1246.0,1171.0,1.0,5.0,13.0,13.0,0.0
1218.0,1145.0,2.0,6.0,13.0,13.0,0.0
1205.0,1144.0,3.0,7.0,13.0,13.0,0.0
1262.0,1127.0,4.0,8.0,13.0,13.0,0.0
1171.0,1045.0,5.0,9.0,13.0,13.0,0.0
1145.0,950.0,6.0,10.0,13.0,13.0,0.0
1164.0,940.0,7.0,11.0,13.0,13.0,0.0
1165.0,939.0,8.0,12.0,13.0,13.0,0.0
1144.0,920.0,0.0,6.0,2.0,3.0,6.0
1159.0,894.0,1.0,7.0,3.0,4.0,0.0
1127.0,873.0,2.0,8.0,4.0,5.0,9.0
1045.0,835.0,3.0,9.0,5.0,6.0,0.0
1066.0,721.0,4.0,10.0,6.0,7.0,15.0
1073.0,683.0,5.0,11.0,7.0,8.0,1.0
1096.0,648.0,6.0,12.0,8.0,9.0,0.0
950.0,611.0,0.0,6.0,3.0,4.0,18.0
1024.0,580.0,1.0,7.0,4.0,5.0,2.0
958.0,,2.0,8.0,5.0,6.0,0.0
940.0,,3.0,9.0,6.0,7.0,0.0
1023.0,,4.0,10.0,7.0,8.0,6.0
1049.0,,5.0,11.0,8.0,9.0,0.0
939.0,,6.0,12.0,9.0,10.0,22.0
1008.0,,0.0,6.0,4.0,5.0,0.0
957.0,,1.0,7.0,5.0,6.0,0.0
920.0,,2.0,8.0,6.0,7.0,0.0
994.0,,3.0,9.0,7.0,8.0,0.0
995.0,,4.0,10.0,8.0,9.0,0.0
970.0,,5.0,11.0,9.0,10.0,16.0
1020.0,,6.0,12.0,10.0,11.0,0.0
988.0,,0.0,8.0,3.0,4.0,8.0
894.0,,1.0,9.0,4.0,5.0,0.0
970.0,,2.0,10.0,5.0,6.0,0.0
922.0,,3.0,11.0,6.0,7.0,0.0
873.0,,4.0,12.0,7.0,8.0,3.0
835.0,,0.0,8.0,4.0,5.0,0.0
721.0,,1.0,9.0,5.0,6.0,0.0
864.0,,2.0,10.0,6.0,7.0,4.0
694.0,,3.0,11.0,7.0,8.0,0.0
683.0,,4.0,12.0,8.0,9.0,0.0
740.0,,0.0,8.0,5.0,6.0,0.0
839.0,,1.0,9.0,6.0,7.0,0.0
661.0,,2.0,10.0,7.0,8.0,0.0
715.0,,3.0,11.0,8.0,9.0,0.0
769.0,,4.0,12.0,9.0,10.0,0.0
639.0,,,,,,
648.0,,,,,,
686.0,,,,,,
819.0,,,,,,
626.0,,,,,,
611.0,,,,,,
793.0,,,,,,
639.0,,,,,,
658.0,,,,,,
763.0,,,,,,
831.0,,,,,,
717.0,,,,,,
564.0,,,,,,
636.0,,,,,,
763.0,,,,,,
681.0,,,,,,
512.0,,,,,,
606.0,,,,,,
634.0,,,,,,
484.0,,,,,,
549.0,,,,,,
528.0,,,,,,
927.0,,,,,,
764.0,,,,,,
485.0,,,,,,
474.0,,,,,,
624.0,,,,,,
738.0,,,,,,
684.0,,,,,,
650.0,,,,,,
565.0,,,,,,
590.0,,,,,,
441.0,,,,,,
758.0,,,,,,
585.0,,,,,,
430.0,,,,,,
478.0,,,,,,
748.0,,,,,,
459.0,,,,,,
646.0,,,,,,
542.0,,,,,,
557.0,,,,,,
548.0,,,,,,
440.0,,,,,,
733.0,,,,,,
667.0,,,,,,
427.0,,,,,,
406.0,,,,,,
560.0,,,,,,
473.0,,,,,,
528.0,,,,,,
688.0,,,,,,
509.0,,,,,,
744.0,,,,,,
510.0,,,,,,
528.0,,,,,,
573.0,,,,,,
406.0,,,,,,
512.0,,,,,,
686.0,,,,,,
561.0,,,,,,
662.0,,,,,,
607.0,,,,,,
584.0,,,,,,
567.0,,,,,,
534.0,,,,,,
541.0,,,,,,
799.0,,,,,,
543.0,,,,,,
433.0,,,,,,
581.0,,,,,,
531.0,,,,,,
513.0,,,,,,
393.0,,,,,,
700.0,,,,,,
580.0,,,,,,
381.0,,,,,,
402.0,,,,,,
658.0,,,,,,
544.0,,,,,,
720.0,,,,,,
423.0,,,,,,
623.0,,,,,,
546.0,,,,,,
614.0,,,,,,
629.0,,,,,,
437.0,,,,,,
624.0,,,,,,
623.0,,,,,,
686.0,,,,,,
574.0,,,,,,
590.0,,,,,,
590.0,,,,,,
446.0,,,,,,
319.0,,,,,,
600.0,,,,,,
551.0,,,,,,
495.0,,,,,,
287.0,,,,,,
747.0,,,,,,
488.0,,,,,,
530.0,,,,,,
570.0,,,,,,
582.0,,,,,,
509.0,,,,,,
386.0,,,,,,
