Explored_history,Best_history,Start_time,End_time,Break_start,Break_end,Staff_number
3195.0,3173.0,0.0,4.0,13.0,13.0,0.0
3184.0,3153.0,1.0,5.0,13.0,13.0,0.0
3200.0,3139.0,2.0,6.0,13.0,13.0,0.0
3173.0,3120.0,3.0,7.0,13.0,13.0,5.0
3202.0,3112.0,4.0,8.0,13.0,13.0,21.0
3153.0,3034.0,5.0,9.0,13.0,13.0,12.0
3175.0,3028.0,6.0,10.0,13.0,13.0,20.0
3168.0,2972.0,7.0,11.0,13.0,13.0,0.0
3139.0,2846.0,8.0,12.0,13.0,13.0,0.0
3199.0,2816.0,0.0,6.0,2.0,3.0,14.0
3179.0,2803.0,1.0,7.0,3.0,4.0,13.0
3120.0,2634.0,2.0,8.0,4.0,5.0,0.0
3112.0,2477.0,3.0,9.0,5.0,6.0,0.0
3034.0,2387.0,4.0,10.0,6.0,7.0,0.0
3138.0,2250.0,5.0,11.0,7.0,8.0,0.0
3047.0,2235.0,6.0,12.0,8.0,9.0,8.0
3044.0,2229.0,0.0,6.0,3.0,4.0,0.0
3087.0,2125.0,1.0,7.0,4.0,5.0,14.0
3028.0,2085.0,2.0,8.0,5.0,6.0,12.0
2972.0,1973.0,3.0,9.0,6.0,7.0,0.0
2993.0,1970.0,4.0,10.0,7.0,8.0,0.0
2846.0,,5.0,11.0,8.0,9.0,0.0
2953.0,,6.0,12.0,9.0,10.0,37.0
2816.0,,0.0,6.0,4.0,5.0,0.0
2852.0,,1.0,7.0,5.0,6.0,13.0
2803.0,,2.0,8.0,6.0,7.0,10.0
2840.0,,3.0,9.0,7.0,8.0,34.0
2634.0,,4.0,10.0,8.0,9.0,0.0
2665.0,,5.0,11.0,9.0,10.0,0.0
2699.0,,6.0,12.0,10.0,11.0,12.0
2760.0,,0.0,8.0,3.0,4.0,8.0
2558.0,,1.0,9.0,4.0,5.0,0.0
2726.0,,2.0,10.0,5.0,6.0,0.0
2456.0,,3.0,11.0,6.0,7.0,0.0
2662.0,,4.0,12.0,7.0,8.0,33.0
2477.0,,0.0,8.0,4.0,5.0,0.0
2491.0,,1.0,9.0,5.0,6.0,0.0
2387.0,,2.0,10.0,6.0,7.0,12.0
2720.0,,3.0,11.0,7.0,8.0,8.0
2508.0,,4.0,12.0,8.0,9.0,0.0
2600.0,,0.0,8.0,5.0,6.0,42.0
2250.0,,1.0,9.0,6.0,7.0,0.0
2506.0,,2.0,10.0,7.0,8.0,0.0
2235.0,,3.0,11.0,8.0,9.0,13.0
2326.0,,4.0,12.0,9.0,10.0,13.0
2285.0,,,,,,
2502.0,,,,,,
2548.0,,,,,,
2151.0,,,,,,
2338.0,,,,,,
2154.0,,,,,,
2229.0,,,,,,
2321.0,,,,,,
2285.0,,,,,,
2237.0,,,,,,
2185.0,,,,,,
2125.0,,,,,,
2324.0,,,,,,
2176.0,,,,,,
2200.0,,,,,,
2153.0,,,,,,
2090.0,,,,,,
2149.0,,,,,,
2502.0,,,,,,
2115.0,,,,,,
2167.0,,,,,,
2207.0,,,,,,
1951.0,,,,,,
1966.0,,,,,,
1855.0,,,,,,
2085.0,,,,,,
2441.0,,,,,,
2029.0,,,,,,
1861.0,,,,,,
1757.0,,,,,,
1973.0,,,,,,
2410.0,,,,,,
1717.0,,,,,,
1876.0,,,,,,
2119.0,,,,,,
2047.0,,,,,,
2081.0,,,,,,
2128.0,,,,,,
1653.0,,,,,,
1925.0,,,,,,
2407.0,,,,,,
1653.0,,,,,,
1924.0,,,,,,
2098.0,,,,,,
1608.0,,,,,,
1513.0,,,,,,
1667.0,,,,,,
2022.0,,,,,,
2421.0,,,,,,
1506.0,,,,,,
2197.0,,,,,,
1708.0,,,,,,
2015.0,,,,,,
1723.0,,,,,,
1970.0,,,,,,
1951.0,,,,,,
1334.0,,,,,,
2098.0,,,,,,
2030.0,,,,,,
1584.0,,,,,,
1890.0,,,,,,
1793.0,,,,,,
2082.0,,,,,,
1562.0,,,,,,
2060.0,,,,,,
1824.0,,,,,,
1832.0,,,,,,
1644.0,,,,,,
2195.0,,,,,,
2192.0,,,,,,
2238.0,,,,,,
1821.0,,,,,,
2016.0,,,,,,
1093.0,,,,,,
2296.0,,,,,,
1646.0,,,,,,
1731.0,,,,,,
1976.0,,,,,,
1959.0,,,,,,
1556.0,,,,,,
1531.0,,,,,,
2234.0,,,,,,
1755.0,,,,,,
1585.0,,,,,,
1605.0,,,,,,
1321.0,,,,,,
2145.0,,,,,,
2027.0,,,,,,
1549.0,,,,,,
1945.0,,,,,,
1880.0,,,,,,
1688.0,,,,,,
1653.0,,,,,,
1829.0,,,,,,
2152.0,,,,,,
1227.0,,,,,,
1613.0,,,,,,
1541.0,,,,,,
2215.0,,,,,,
1390.0,,,,,,
1990.0,,,,,,
1506.0,,,,,,
1640.0,,,,,,
2200.0,,,,,,
1696.0,,,,,,
2046.0,,,,,,
1845.0,,,,,,
1916.0,,,,,,
2097.0,,,,,,
1142.0,,,,,,
1300.0,,,,,,
1224.0,,,,,,
2151.0,,,,,,
876.0,,,,,,
1594.0,,,,,,
1380.0,,,,,,
1892.0,,,,,,
2210.0,,,,,,
1737.0,,,,,,
1663.0,,,,,,
1545.0,,,,,,
1965.0,,,,,,
