Explored_history,Best_history,Start_time,End_time,Break_start,Break_end,Staff_number
2855.0,2853.0,0.0,4.0,13.0,13.0,6.0
2853.0,2838.0,1.0,5.0,13.0,13.0,14.0
2761.0,2723.0,2.0,6.0,13.0,13.0,2.0
2744.0,2699.0,3.0,7.0,13.0,13.0,3.0
2838.0,2592.0,4.0,8.0,13.0,13.0,6.0
2723.0,2551.0,5.0,9.0,13.0,13.0,4.0
2619.0,2460.0,6.0,10.0,13.0,13.0,7.0
2699.0,2435.0,7.0,11.0,13.0,13.0,2.0
2592.0,2412.0,8.0,12.0,13.0,13.0,5.0
2551.0,2389.0,0.0,6.0,2.0,3.0,11.0
2460.0,2335.0,1.0,7.0,3.0,4.0,6.0
2435.0,2282.0,2.0,8.0,4.0,5.0,10.0
2337.0,2283.0,3.0,9.0,5.0,6.0,10.0
2345.0,2253.0,4.0,10.0,6.0,7.0,5.0
2412.0,2239.0,5.0,11.0,7.0,8.0,9.0
2389.0,2153.0,6.0,12.0,8.0,9.0,12.0
2330.0,2111.0,0.0,6.0,3.0,4.0,3.0
2335.0,2088.0,1.0,7.0,4.0,5.0,7.0
2309.0,2048.0,2.0,8.0,5.0,6.0,0.0
2268.0,2029.0,3.0,9.0,6.0,7.0,1.0
2282.0,2016.0,4.0,10.0,7.0,8.0,0.0
2255.0,1977.0,5.0,11.0,8.0,9.0,10.0
2283.0,1939.0,6.0,12.0,9.0,10.0,14.0
2208.0,1937.0,0.0,6.0,4.0,5.0,14.0
2225.0,1879.0,1.0,7.0,5.0,6.0,0.0
2195.0,1817.0,2.0,8.0,6.0,7.0,0.0
2246.0,1848.0,3.0,9.0,7.0,8.0,5.0
2253.0,1799.0,4.0,10.0,8.0,9.0,0.0
2143.0,1799.0,5.0,11.0,9.0,10.0,3.0
2197.0,1783.0,6.0,12.0,10.0,11.0,10.0
2239.0,1755.0,0.0,8.0,3.0,4.0,11.0
2194.0,1721.0,1.0,9.0,4.0,5.0,2.0
2154.0,1681.0,2.0,10.0,5.0,6.0,2.0
2145.0,1676.0,3.0,11.0,6.0,7.0,8.0
2150.0,1658.0,4.0,12.0,7.0,8.0,21.0
2148.0,,0.0,8.0,4.0,5.0,9.0
2210.0,,1.0,9.0,5.0,6.0,6.0
2213.0,,2.0,10.0,6.0,7.0,4.0
2153.0,,3.0,11.0,7.0,8.0,10.0
2141.0,,4.0,12.0,8.0,9.0,10.0
2075.0,,0.0,8.0,5.0,6.0,8.0
2064.0,,1.0,9.0,6.0,7.0,5.0
2060.0,,2.0,10.0,7.0,8.0,2.0
2062.0,,3.0,11.0,8.0,9.0,1.0
2075.0,,4.0,12.0,9.0,10.0,17.0
2070.0,,,,,,
2074.0,,,,,,
2111.0,,,,,,
2091.0,,,,,,
2063.0,,,,,,
2088.0,,,,,,
2048.0,,,,,,
1959.0,,,,,,
1972.0,,,,,,
1984.0,,,,,,
1963.0,,,,,,
1968.0,,,,,,
1989.0,,,,,,
2002.0,,,,,,
1984.0,,,,,,
1997.0,,,,,,
1941.0,,,,,,
1984.0,,,,,,
2028.0,,,,,,
1987.0,,,,,,
1962.0,,,,,,
2028.0,,,,,,
1912.0,,,,,,
2030.0,,,,,,
2029.0,,,,,,
1978.0,,,,,,
2016.0,,,,,,
1931.0,,,,,,
1954.0,,,,,,
1922.0,,,,,,
1977.0,,,,,,
1903.0,,,,,,
1912.0,,,,,,
1939.0,,,,,,
1885.0,,,,,,
1937.0,,,,,,
1828.0,,,,,,
1879.0,,,,,,
1817.0,,,,,,
1717.0,,,,,,
1772.0,,,,,,
1785.0,,,,,,
1772.0,,,,,,
1750.0,,,,,,
1798.0,,,,,,
1745.0,,,,,,
1751.0,,,,,,
1745.0,,,,,,
1848.0,,,,,,
1761.0,,,,,,
1779.0,,,,,,
1797.0,,,,,,
1769.0,,,,,,
1819.0,,,,,,
1801.0,,,,,,
1787.0,,,,,,
1765.0,,,,,,
1762.0,,,,,,
1809.0,,,,,,
1743.0,,,,,,
1799.0,,,,,,
1770.0,,,,,,
1761.0,,,,,,
1754.0,,,,,,
1732.0,,,,,,
1746.0,,,,,,
1751.0,,,,,,
1716.0,,,,,,
1748.0,,,,,,
1745.0,,,,,,
1735.0,,,,,,
1781.0,,,,,,
1782.0,,,,,,
1687.0,,,,,,
1758.0,,,,,,
