Explored_history,Best_history,Start_time,End_time,Break_start,Break_end,Staff_number
962.0,962.0,0.0,4.0,13.0,13.0,1.0
903.0,903.0,1.0,5.0,13.0,13.0,1.0
833.0,833.0,2.0,6.0,13.0,13.0,5.0
746.0,760.0,3.0,7.0,13.0,13.0,4.0
760.0,726.0,4.0,8.0,13.0,13.0,0.0
688.0,676.0,5.0,9.0,13.0,13.0,0.0
732.0,655.0,6.0,10.0,13.0,13.0,0.0
726.0,670.0,7.0,11.0,13.0,13.0,0.0
649.0,625.0,8.0,12.0,13.0,13.0,4.0
711.0,590.0,0.0,6.0,2.0,3.0,0.0
656.0,558.0,1.0,7.0,3.0,4.0,0.0
663.0,552.0,2.0,8.0,4.0,5.0,0.0
676.0,555.0,3.0,9.0,5.0,6.0,0.0
655.0,550.0,4.0,10.0,6.0,7.0,3.0
633.0,597.0,5.0,11.0,7.0,8.0,1.0
589.0,563.0,6.0,12.0,8.0,9.0,0.0
577.0,557.0,0.0,6.0,3.0,4.0,4.0
625.0,554.0,1.0,7.0,4.0,5.0,0.0
670.0,537.0,2.0,8.0,5.0,6.0,0.0
644.0,538.0,3.0,9.0,6.0,7.0,1.0
648.0,515.0,4.0,10.0,7.0,8.0,0.0
610.0,483.0,5.0,11.0,8.0,9.0,4.0
604.0,507.0,6.0,12.0,9.0,10.0,5.0
667.0,516.0,0.0,6.0,4.0,5.0,2.0
602.0,503.0,1.0,7.0,5.0,6.0,0.0
632.0,502.0,2.0,8.0,6.0,7.0,1.0
625.0,498.0,3.0,9.0,7.0,8.0,0.0
629.0,491.0,4.0,10.0,8.0,9.0,3.0
548.0,,5.0,11.0,9.0,10.0,5.0
588.0,,6.0,12.0,10.0,11.0,4.0
605.0,,0.0,8.0,3.0,4.0,3.0
637.0,,1.0,9.0,4.0,5.0,0.0
601.0,,2.0,10.0,5.0,6.0,0.0
573.0,,3.0,11.0,6.0,7.0,3.0
587.0,,4.0,12.0,7.0,8.0,5.0
555.0,,0.0,8.0,4.0,5.0,5.0
601.0,,1.0,9.0,5.0,6.0,1.0
590.0,,2.0,10.0,6.0,7.0,0.0
528.0,,3.0,11.0,7.0,8.0,0.0
558.0,,4.0,12.0,8.0,9.0,2.0
552.0,,0.0,8.0,5.0,6.0,9.0
555.0,,1.0,9.0,6.0,7.0,3.0
558.0,,2.0,10.0,7.0,8.0,2.0
511.0,,3.0,11.0,8.0,9.0,2.0
550.0,,4.0,12.0,9.0,10.0,3.0
458.0,,,,,,
522.0,,,,,,
496.0,,,,,,
497.0,,,,,,
559.0,,,,,,
488.0,,,,,,
514.0,,,,,,
544.0,,,,,,
527.0,,,,,,
542.0,,,,,,
597.0,,,,,,
507.0,,,,,,
563.0,,,,,,
536.0,,,,,,
540.0,,,,,,
557.0,,,,,,
554.0,,,,,,
500.0,,,,,,
537.0,,,,,,
511.0,,,,,,
538.0,,,,,,
482.0,,,,,,
478.0,,,,,,
492.0,,,,,,
525.0,,,,,,
468.0,,,,,,
515.0,,,,,,
483.0,,,,,,
478.0,,,,,,
485.0,,,,,,
447.0,,,,,,
461.0,,,,,,
441.0,,,,,,
485.0,,,,,,
491.0,,,,,,
492.0,,,,,,
479.0,,,,,,
476.0,,,,,,
474.0,,,,,,
440.0,,,,,,
447.0,,,,,,
464.0,,,,,,
508.0,,,,,,
507.0,,,,,,
491.0,,,,,,
466.0,,,,,,
431.0,,,,,,
475.0,,,,,,
467.0,,,,,,
464.0,,,,,,
474.0,,,,,,
516.0,,,,,,
426.0,,,,,,
503.0,,,,,,
446.0,,,,,,
456.0,,,,,,
483.0,,,,,,
426.0,,,,,,
453.0,,,,,,
465.0,,,,,,
502.0,,,,,,
471.0,,,,,,
484.0,,,,,,
458.0,,,,,,
449.0,,,,,,
498.0,,,,,,
498.0,,,,,,
452.0,,,,,,
463.0,,,,,,
487.0,,,,,,
471.0,,,,,,
497.0,,,,,,
491.0,,,,,,
489.0,,,,,,
486.0,,,,,,
488.0,,,,,,
418.0,,,,,,
465.0,,,,,,
445.0,,,,,,
488.0,,,,,,
472.0,,,,,,
464.0,,,,,,
487.0,,,,,,
466.0,,,,,,
512.0,,,,,,
489.0,,,,,,
500.0,,,,,,
468.0,,,,,,
510.0,,,,,,
450.0,,,,,,
469.0,,,,,,
492.0,,,,,,
476.0,,,,,,
499.0,,,,,,
457.0,,,,,,
487.0,,,,,,
507.0,,,,,,
523.0,,,,,,
516.0,,,,,,
488.0,,,,,,
463.0,,,,,,
511.0,,,,,,
540.0,,,,,,
451.0,,,,,,
470.0,,,,,,
472.0,,,,,,
484.0,,,,,,
486.0,,,,,,
461.0,,,,,,
487.0,,,,,,
438.0,,,,,,
472.0,,,,,,
483.0,,,,,,
460.0,,,,,,
505.0,,,,,,
479.0,,,,,,
466.0,,,,,,
486.0,,,,,,
516.0,,,,,,
503.0,,,,,,
439.0,,,,,,
519.0,,,,,,
425.0,,,,,,
429.0,,,,,,
468.0,,,,,,
486.0,,,,,,
458.0,,,,,,
512.0,,,,,,
486.0,,,,,,
473.0,,,,,,
482.0,,,,,,
458.0,,,,,,
455.0,,,,,,
510.0,,,,,,
510.0,,,,,,
454.0,,,,,,
468.0,,,,,,
516.0,,,,,,
534.0,,,,,,
479.0,,,,,,
506.0,,,,,,
494.0,,,,,,
469.0,,,,,,
495.0,,,,,,
427.0,,,,,,
453.0,,,,,,
465.0,,,,,,
428.0,,,,,,
509.0,,,,,,
522.0,,,,,,
455.0,,,,,,
492.0,,,,,,
436.0,,,,,,
467.0,,,,,,
537.0,,,,,,
483.0,,,,,,
477.0,,,,,,
468.0,,,,,,
457.0,,,,,,
507.0,,,,,,
502.0,,,,,,
486.0,,,,,,
453.0,,,,,,
467.0,,,,,,
447.0,,,,,,
491.0,,,,,,
505.0,,,,,,
480.0,,,,,,
491.0,,,,,,
483.0,,,,,,
466.0,,,,,,
457.0,,,,,,
481.0,,,,,,
482.0,,,,,,
468.0,,,,,,
416.0,,,,,,
504.0,,,,,,
476.0,,,,,,
490.0,,,,,,
463.0,,,,,,
450.0,,,,,,
487.0,,,,,,
468.0,,,,,,
455.0,,,,,,
509.0,,,,,,
505.0,,,,,,
433.0,,,,,,
506.0,,,,,,
484.0,,,,,,
478.0,,,,,,
459.0,,,,,,
463.0,,,,,,
467.0,,,,,,
419.0,,,,,,
473.0,,,,,,
438.0,,,,,,
457.0,,,,,,
501.0,,,,,,
478.0,,,,,,
512.0,,,,,,
518.0,,,,,,
486.0,,,,,,
478.0,,,,,,
424.0,,,,,,
481.0,,,,,,
