Day,Good_periods,Cost,Answered_calls,Dropped_calls,Total_good_periods,Total_cost,Total_answered_calls,Total_dropped_calls
1.0,70.0,452.0,5422.0,73.0,1978.0,12173.0,136076.0,5427.0
2.0,71.0,416.0,5030.0,72.0,1978.0,12173.0,136076.0,5427.0
3.0,62.0,348.0,5575.0,612.0,1978.0,12173.0,136076.0,5427.0
4.0,54.0,292.0,5142.0,999.0,1978.0,12173.0,136076.0,5427.0
5.0,58.0,404.0,5494.0,167.0,1978.0,12173.0,136076.0,5427.0
6.0,54.0,376.0,6555.0,1268.0,1978.0,12173.0,136076.0,5427.0
7.0,56.0,420.0,5657.0,253.0,1978.0,12173.0,136076.0,5427.0
8.0,56.0,352.0,4575.0,193.0,1978.0,12173.0,136076.0,5427.0
9.0,58.0,344.0,3985.0,121.0,1978.0,12173.0,136076.0,5427.0
10.0,59.0,356.0,4893.0,194.0,1978.0,12173.0,136076.0,5427.0
11.0,61.0,400.0,4865.0,103.0,1978.0,12173.0,136076.0,5427.0
12.0,63.0,416.0,4434.0,76.0,1978.0,12173.0,136076.0,5427.0
13.0,66.0,464.0,4432.0,26.0,1978.0,12173.0,136076.0,5427.0
14.0,67.0,412.0,3929.0,31.0,1978.0,12173.0,136076.0,5427.0
15.0,67.0,348.0,4065.0,89.0,1978.0,12173.0,136076.0,5427.0
16.0,68.0,408.0,3896.0,13.0,1978.0,12173.0,136076.0,5427.0
17.0,68.0,445.0,4474.0,152.0,1978.0,12173.0,136076.0,5427.0
18.0,68.0,432.0,4040.0,63.0,1978.0,12173.0,136076.0,5427.0
19.0,70.0,457.0,4228.0,9.0,1978.0,12173.0,136076.0,5427.0
20.0,70.0,437.0,4310.0,7.0,1978.0,12173.0,136076.0,5427.0
21.0,70.0,463.0,4450.0,25.0,1978.0,12173.0,136076.0,5427.0
22.0,70.0,454.0,3829.0,21.0,1978.0,12173.0,136076.0,5427.0
23.0,70.0,433.0,3666.0,1.0,1978.0,12173.0,136076.0,5427.0
24.0,70.0,434.0,3900.0,71.0,1978.0,12173.0,136076.0,5427.0
25.0,72.0,434.0,4478.0,126.0,1978.0,12173.0,136076.0,5427.0
26.0,72.0,382.0,4191.0,28.0,1978.0,12173.0,136076.0,5427.0
27.0,72.0,355.0,4246.0,159.0,1978.0,12173.0,136076.0,5427.0
28.0,72.0,433.0,4198.0,181.0,1978.0,12173.0,136076.0,5427.0
29.0,72.0,351.0,4093.0,286.0,1978.0,12173.0,136076.0,5427.0
30.0,72.0,455.0,4024.0,8.0,1978.0,12173.0,136076.0,5427.0
