Explored_history,Best_history,Cycle_number,Start_time,End_time,Break_start,Break_end,Staff_number
1478,1478.0,1.0,6.0,13.0,25.0,25.0,0.0
1643,1643.0,1.0,6.0,14.0,25.0,25.0,4.0
1634,1634.0,1.0,7.0,14.0,25.0,25.0,0.0
1532,1532.0,1.0,8.0,12.0,25.0,25.0,1.0
1613,1613.0,1.0,8.0,16.0,25.0,25.0,0.0
1626,1626.0,1.0,12.0,20.0,25.0,25.0,1.0
1649,1649.0,1.0,13.0,21.0,25.0,25.0,1.0
1599,1599.0,1.0,14.0,21.0,25.0,25.0,3.0
1648,1648.0,1.0,14.0,22.0,25.0,25.0,0.0
1648,1648.0,1.0,15.0,22.0,25.0,25.0,0.0
1649,1649.0,1.0,16.0,24.0,25.0,25.0,0.0
1624,1624.0,1.0,17.0,21.0,25.0,25.0,0.0
1614,1614.0,1.0,17.0,24.0,25.0,25.0,0.0
1641,1641.0,2.0,6.0,13.0,25.0,25.0,0.0
1649,1649.0,2.0,6.0,14.0,25.0,25.0,0.0
1630,1630.0,2.0,7.0,14.0,25.0,25.0,1.0
1640,1640.0,2.0,8.0,12.0,25.0,25.0,1.0
1650,1650.0,2.0,8.0,16.0,25.0,25.0,1.0
1643,1643.0,2.0,12.0,20.0,25.0,25.0,0.0
1637,1637.0,2.0,13.0,21.0,25.0,25.0,0.0
1642,1642.0,2.0,14.0,21.0,25.0,25.0,1.0
1621,1621.0,2.0,14.0,22.0,25.0,25.0,0.0
1650,1650.0,2.0,15.0,22.0,25.0,25.0,0.0
1652,1652.0,2.0,16.0,24.0,25.0,25.0,0.0
1617,1617.0,2.0,17.0,21.0,25.0,25.0,1.0
1616,1616.0,2.0,17.0,24.0,25.0,25.0,0.0
1467,1467.0,3.0,6.0,13.0,25.0,25.0,0.0
1572,1572.0,3.0,6.0,14.0,25.0,25.0,0.0
1643,1643.0,3.0,7.0,14.0,25.0,25.0,0.0
1637,1637.0,3.0,8.0,12.0,25.0,25.0,1.0
1656,1656.0,3.0,8.0,16.0,25.0,25.0,1.0
1639,1639.0,3.0,12.0,20.0,25.0,25.0,0.0
1638,1638.0,3.0,13.0,21.0,25.0,25.0,0.0
1653,1653.0,3.0,14.0,21.0,25.0,25.0,0.0
1642,1642.0,3.0,14.0,22.0,25.0,25.0,0.0
1648,1648.0,3.0,15.0,22.0,25.0,25.0,0.0
1648,1648.0,3.0,16.0,24.0,25.0,25.0,0.0
1653,1653.0,3.0,17.0,21.0,25.0,25.0,2.0
1652,1652.0,3.0,17.0,24.0,25.0,25.0,0.0
1638,1638.0,4.0,6.0,13.0,25.0,25.0,0.0
1635,1635.0,4.0,6.0,14.0,25.0,25.0,0.0
1655,1655.0,4.0,7.0,14.0,25.0,25.0,1.0
1656,1656.0,4.0,8.0,12.0,25.0,25.0,1.0
1639,1639.0,4.0,8.0,16.0,25.0,25.0,1.0
1647,1647.0,4.0,12.0,20.0,25.0,25.0,0.0
1647,1647.0,4.0,13.0,21.0,25.0,25.0,1.0
1651,1651.0,4.0,14.0,21.0,25.0,25.0,0.0
1653,1653.0,4.0,14.0,22.0,25.0,25.0,1.0
1655,1655.0,4.0,15.0,22.0,25.0,25.0,0.0
1655,1655.0,4.0,16.0,24.0,25.0,25.0,1.0
1652,1652.0,4.0,17.0,21.0,25.0,25.0,0.0
1655,1655.0,4.0,17.0,24.0,25.0,25.0,1.0
1656,1656.0,5.0,6.0,13.0,25.0,25.0,0.0
1653,1653.0,5.0,6.0,14.0,25.0,25.0,0.0
1594,1594.0,5.0,7.0,14.0,25.0,25.0,0.0
1627,1627.0,5.0,8.0,12.0,25.0,25.0,1.0
1654,1654.0,5.0,8.0,16.0,25.0,25.0,0.0
1639,1639.0,5.0,12.0,20.0,25.0,25.0,0.0
1655,1655.0,5.0,13.0,21.0,25.0,25.0,0.0
1621,1621.0,5.0,14.0,21.0,25.0,25.0,2.0
1560,1560.0,5.0,14.0,22.0,25.0,25.0,0.0
1557,1557.0,5.0,15.0,22.0,25.0,25.0,2.0
1617,1617.0,5.0,16.0,24.0,25.0,25.0,0.0
1528,1528.0,5.0,17.0,21.0,25.0,25.0,0.0
1642,1642.0,5.0,17.0,24.0,25.0,25.0,0.0
1619,1619.0,6.0,6.0,13.0,25.0,25.0,2.0
1651,1651.0,6.0,6.0,14.0,25.0,25.0,1.0
1612,1612.0,6.0,7.0,14.0,25.0,25.0,1.0
1651,1651.0,6.0,8.0,12.0,25.0,25.0,1.0
1634,1634.0,6.0,8.0,16.0,25.0,25.0,1.0
1655,1655.0,6.0,12.0,20.0,25.0,25.0,2.0
1656,1656.0,6.0,13.0,21.0,25.0,25.0,0.0
1641,1641.0,6.0,14.0,21.0,25.0,25.0,0.0
1641,1641.0,6.0,14.0,22.0,25.0,25.0,0.0
1643,1643.0,6.0,15.0,22.0,25.0,25.0,0.0
1646,1646.0,6.0,16.0,24.0,25.0,25.0,0.0
1650,1650.0,6.0,17.0,21.0,25.0,25.0,0.0
1649,1649.0,6.0,17.0,24.0,25.0,25.0,0.0
1647,1647.0,7.0,6.0,13.0,25.0,25.0,0.0
1640,1640.0,7.0,6.0,14.0,25.0,25.0,1.0
1644,1644.0,7.0,7.0,14.0,25.0,25.0,0.0
1654,1654.0,7.0,8.0,12.0,25.0,25.0,0.0
1655,1655.0,7.0,8.0,16.0,25.0,25.0,0.0
1656,1656.0,7.0,12.0,20.0,25.0,25.0,1.0
1640,1656.0,7.0,13.0,21.0,25.0,25.0,0.0
1656,1652.0,7.0,14.0,21.0,25.0,25.0,1.0
1652,1655.0,7.0,14.0,22.0,25.0,25.0,0.0
1655,1656.0,7.0,15.0,22.0,25.0,25.0,0.0
1656,1653.0,7.0,16.0,24.0,25.0,25.0,0.0
1653,1655.0,7.0,17.0,21.0,25.0,25.0,0.0
1655,1656.0,7.0,17.0,24.0,25.0,25.0,0.0
1646,1656.0,8.0,6.0,13.0,25.0,25.0,0.0
1644,1656.0,8.0,6.0,14.0,25.0,25.0,1.0
1542,1656.0,8.0,7.0,14.0,25.0,25.0,0.0
1653,1656.0,8.0,8.0,12.0,25.0,25.0,1.0
1643,1656.0,8.0,8.0,16.0,25.0,25.0,0.0
1656,1656.0,8.0,12.0,20.0,25.0,25.0,2.0
1632,1656.0,8.0,13.0,21.0,25.0,25.0,0.0
1646,1656.0,8.0,14.0,21.0,25.0,25.0,1.0
1648,1656.0,8.0,14.0,22.0,25.0,25.0,0.0
1656,1656.0,8.0,15.0,22.0,25.0,25.0,2.0
1655,1656.0,8.0,16.0,24.0,25.0,25.0,0.0
1652,1656.0,8.0,17.0,21.0,25.0,25.0,0.0
1655,,8.0,17.0,24.0,25.0,25.0,0.0
1651,,9.0,6.0,13.0,25.0,25.0,0.0
1652,,9.0,6.0,14.0,25.0,25.0,0.0
1653,,9.0,7.0,14.0,25.0,25.0,0.0
1654,,9.0,8.0,12.0,25.0,25.0,1.0
1649,,9.0,8.0,16.0,25.0,25.0,0.0
1650,,9.0,12.0,20.0,25.0,25.0,0.0
1655,,9.0,13.0,21.0,25.0,25.0,1.0
1645,,9.0,14.0,21.0,25.0,25.0,0.0
1656,,9.0,14.0,22.0,25.0,25.0,1.0
1641,,9.0,15.0,22.0,25.0,25.0,0.0
1653,,9.0,16.0,24.0,25.0,25.0,0.0
1656,,9.0,17.0,21.0,25.0,25.0,0.0
1655,,9.0,17.0,24.0,25.0,25.0,0.0
1653,,10.0,6.0,13.0,25.0,25.0,1.0
1650,,10.0,6.0,14.0,25.0,25.0,1.0
1655,,10.0,7.0,14.0,25.0,25.0,0.0
1650,,10.0,8.0,12.0,25.0,25.0,0.0
1656,,10.0,8.0,16.0,25.0,25.0,0.0
1654,,10.0,12.0,20.0,25.0,25.0,0.0
1655,,10.0,13.0,21.0,25.0,25.0,3.0
1623,,10.0,14.0,21.0,25.0,25.0,3.0
1653,,10.0,14.0,22.0,25.0,25.0,1.0
1647,,10.0,15.0,22.0,25.0,25.0,1.0
1656,,10.0,16.0,24.0,25.0,25.0,0.0
1653,,10.0,17.0,21.0,25.0,25.0,0.0
1654,,10.0,17.0,24.0,25.0,25.0,0.0
1655,,11.0,6.0,13.0,25.0,25.0,0.0
1647,,11.0,6.0,14.0,25.0,25.0,0.0
1653,,11.0,7.0,14.0,25.0,25.0,0.0
1655,,11.0,8.0,12.0,25.0,25.0,1.0
1636,,11.0,8.0,16.0,25.0,25.0,0.0
1653,,11.0,12.0,20.0,25.0,25.0,0.0
1654,,11.0,13.0,21.0,25.0,25.0,1.0
1654,,11.0,14.0,21.0,25.0,25.0,0.0
1654,,11.0,14.0,22.0,25.0,25.0,2.0
1653,,11.0,15.0,22.0,25.0,25.0,1.0
1654,,11.0,16.0,24.0,25.0,25.0,0.0
1653,,11.0,17.0,21.0,25.0,25.0,2.0
1649,,11.0,17.0,24.0,25.0,25.0,0.0
1654,,12.0,6.0,13.0,25.0,25.0,0.0
1654,,12.0,6.0,14.0,25.0,25.0,1.0
1652,,12.0,7.0,14.0,25.0,25.0,1.0
1648,,12.0,8.0,12.0,25.0,25.0,1.0
1655,,12.0,8.0,16.0,25.0,25.0,2.0
1654,,12.0,12.0,20.0,25.0,25.0,0.0
1655,,12.0,13.0,21.0,25.0,25.0,0.0
1655,,12.0,14.0,21.0,25.0,25.0,2.0
1655,,12.0,14.0,22.0,25.0,25.0,0.0
1655,,12.0,15.0,22.0,25.0,25.0,0.0
1655,,12.0,16.0,24.0,25.0,25.0,0.0
1656,,12.0,17.0,21.0,25.0,25.0,0.0
1654,,12.0,17.0,24.0,25.0,25.0,1.0
1656,,,,,,,
1656,,,,,,,
1656,,,,,,,
1652,,,,,,,
1643,,,,,,,
1625,,,,,,,
1656,,,,,,,
1653,,,,,,,
1656,,,,,,,
1654,,,,,,,
1649,,,,,,,
1641,,,,,,,
1655,,,,,,,
1655,,,,,,,
1656,,,,,,,
1655,,,,,,,
