Day,Good_periods,Cost,Answered_calls,Dropped_calls,Total_good_periods,Total_cost,Total_answered_calls,Total_dropped_calls
1.0,72.0,411.0,5409.0,86.0,2160.0,11997.0,139775.0,1728.0
2.0,72.0,378.0,5060.0,42.0,2160.0,11997.0,139775.0,1728.0
3.0,72.0,400.0,6103.0,84.0,2160.0,11997.0,139775.0,1728.0
4.0,72.0,390.0,5916.0,225.0,2160.0,11997.0,139775.0,1728.0
5.0,72.0,374.0,5550.0,111.0,2160.0,11997.0,139775.0,1728.0
6.0,72.0,432.0,7499.0,324.0,2160.0,11997.0,139775.0,1728.0
7.0,72.0,434.0,5741.0,169.0,2160.0,11997.0,139775.0,1728.0
8.0,72.0,400.0,4727.0,41.0,2160.0,11997.0,139775.0,1728.0
9.0,72.0,372.0,4076.0,30.0,2160.0,11997.0,139775.0,1728.0
10.0,72.0,413.0,5004.0,83.0,2160.0,11997.0,139775.0,1728.0
11.0,72.0,382.0,4888.0,80.0,2160.0,11997.0,139775.0,1728.0
12.0,72.0,420.0,4447.0,63.0,2160.0,11997.0,139775.0,1728.0
13.0,72.0,411.0,4438.0,20.0,2160.0,11997.0,139775.0,1728.0
14.0,72.0,378.0,3937.0,23.0,2160.0,11997.0,139775.0,1728.0
15.0,72.0,400.0,4151.0,3.0,2160.0,11997.0,139775.0,1728.0
16.0,72.0,390.0,3909.0,0.0,2160.0,11997.0,139775.0,1728.0
17.0,72.0,374.0,4549.0,77.0,2160.0,11997.0,139775.0,1728.0
18.0,72.0,432.0,4080.0,23.0,2160.0,11997.0,139775.0,1728.0
19.0,72.0,434.0,4234.0,3.0,2160.0,11997.0,139775.0,1728.0
20.0,72.0,400.0,4283.0,34.0,2160.0,11997.0,139775.0,1728.0
21.0,72.0,372.0,4457.0,18.0,2160.0,11997.0,139775.0,1728.0
22.0,72.0,413.0,3822.0,28.0,2160.0,11997.0,139775.0,1728.0
23.0,72.0,382.0,3657.0,10.0,2160.0,11997.0,139775.0,1728.0
24.0,72.0,420.0,3971.0,0.0,2160.0,11997.0,139775.0,1728.0
25.0,72.0,411.0,4600.0,4.0,2160.0,11997.0,139775.0,1728.0
26.0,72.0,378.0,4202.0,17.0,2160.0,11997.0,139775.0,1728.0
27.0,72.0,400.0,4399.0,6.0,2160.0,11997.0,139775.0,1728.0
28.0,72.0,390.0,4311.0,68.0,2160.0,11997.0,139775.0,1728.0
29.0,72.0,374.0,4333.0,46.0,2160.0,11997.0,139775.0,1728.0
30.0,72.0,432.0,4022.0,10.0,2160.0,11997.0,139775.0,1728.0
