Explored_history,Best_history,Cycle_number,Start_time,End_time,Break_start,Break_end,Staff_number
1461.0,1461.0,1,6,13,25,25,1
1534.0,1534.0,1,6,14,25,25,0
1606.0,1606.0,1,7,14,25,25,1
1574.0,1574.0,1,8,12,25,25,1
1532.0,1532.0,1,8,16,25,25,3
1612.0,1612.0,1,12,20,25,25,0
1534.0,1534.0,1,13,21,25,25,0
1526.0,1526.0,1,14,21,25,25,0
1579.0,1579.0,1,14,22,25,25,0
1605.0,1605.0,1,15,22,25,25,0
1619.0,1619.0,1,16,24,25,25,0
1631.0,1631.0,1,17,21,25,25,0
1605.0,1605.0,1,17,24,25,25,2
1607.0,1607.0,2,6,13,25,25,1
1589.0,1589.0,2,6,14,25,25,1
1569.0,1569.0,2,7,14,25,25,0
1598.0,1598.0,2,8,12,25,25,0
1575.0,1575.0,2,8,16,25,25,0
1600.0,1600.0,2,12,20,25,25,0
1612.0,1612.0,2,13,21,25,25,0
1605.0,1605.0,2,14,21,25,25,1
1597.0,1597.0,2,14,22,25,25,1
1564.0,1564.0,2,15,22,25,25,0
1551.0,1551.0,2,16,24,25,25,0
1520.0,1520.0,2,17,21,25,25,1
1607.0,1607.0,2,17,24,25,25,1
1516.0,1516.0,3,6,13,25,25,0
1547.0,1547.0,3,6,14,25,25,0
1597.0,1597.0,3,7,14,25,25,0
1518.0,1518.0,3,8,12,25,25,1
1608.0,1608.0,3,8,16,25,25,1
1545.0,1545.0,3,12,20,25,25,3
1488.0,1488.0,3,13,21,25,25,0
1557.0,1557.0,3,14,21,25,25,0
1479.0,1479.0,3,14,22,25,25,1
1559.0,1559.0,3,15,22,25,25,1
1197.0,1197.0,3,16,24,25,25,0
1375.0,1375.0,3,17,21,25,25,0
1443.0,1443.0,3,17,24,25,25,1
1611.0,1611.0,4,6,13,25,25,0
1583.0,1583.0,4,6,14,25,25,0
1562.0,1562.0,4,7,14,25,25,1
1504.0,1504.0,4,8,12,25,25,0
1578.0,1578.0,4,8,16,25,25,1
1614.0,1614.0,4,12,20,25,25,1
1620.0,1620.0,4,13,21,25,25,0
