Day,Good_periods,Cost,Answered_calls,Dropped_calls,Total_good_periods,Total_cost,Total_answered_calls,Total_dropped_calls
1.0,72.0,426.0,5421.0,74.0,2160.0,11878.0,138389.0,3114.0
2.0,72.0,439.0,5087.0,15.0,2160.0,11878.0,138389.0,3114.0
3.0,72.0,383.0,5980.0,207.0,2160.0,11878.0,138389.0,3114.0
4.0,72.0,378.0,5807.0,334.0,2160.0,11878.0,138389.0,3114.0
5.0,72.0,372.0,5492.0,169.0,2160.0,11878.0,138389.0,3114.0
6.0,72.0,376.0,7006.0,817.0,2160.0,11878.0,138389.0,3114.0
7.0,72.0,376.0,5541.0,369.0,2160.0,11878.0,138389.0,3114.0
8.0,72.0,458.0,4758.0,10.0,2160.0,11878.0,138389.0,3114.0
9.0,72.0,383.0,4080.0,26.0,2160.0,11878.0,138389.0,3114.0
10.0,72.0,403.0,4959.0,128.0,2160.0,11878.0,138389.0,3114.0
11.0,72.0,383.0,4840.0,128.0,2160.0,11878.0,138389.0,3114.0
12.0,72.0,375.0,4346.0,164.0,2160.0,11878.0,138389.0,3114.0
13.0,72.0,426.0,4442.0,16.0,2160.0,11878.0,138389.0,3114.0
14.0,72.0,439.0,3955.0,5.0,2160.0,11878.0,138389.0,3114.0
15.0,72.0,383.0,4125.0,29.0,2160.0,11878.0,138389.0,3114.0
16.0,72.0,378.0,3896.0,13.0,2160.0,11878.0,138389.0,3114.0
17.0,72.0,372.0,4537.0,89.0,2160.0,11878.0,138389.0,3114.0
18.0,72.0,376.0,4031.0,72.0,2160.0,11878.0,138389.0,3114.0
19.0,72.0,376.0,4218.0,19.0,2160.0,11878.0,138389.0,3114.0
20.0,72.0,458.0,4306.0,11.0,2160.0,11878.0,138389.0,3114.0
21.0,72.0,383.0,4439.0,36.0,2160.0,11878.0,138389.0,3114.0
22.0,72.0,403.0,3812.0,38.0,2160.0,11878.0,138389.0,3114.0
23.0,72.0,383.0,3628.0,39.0,2160.0,11878.0,138389.0,3114.0
24.0,72.0,375.0,3946.0,25.0,2160.0,11878.0,138389.0,3114.0
25.0,72.0,426.0,4596.0,8.0,2160.0,11878.0,138389.0,3114.0
26.0,72.0,439.0,4203.0,16.0,2160.0,11878.0,138389.0,3114.0
27.0,72.0,383.0,4360.0,45.0,2160.0,11878.0,138389.0,3114.0
28.0,72.0,378.0,4260.0,119.0,2160.0,11878.0,138389.0,3114.0
29.0,72.0,372.0,4320.0,59.0,2160.0,11878.0,138389.0,3114.0
30.0,72.0,376.0,3998.0,34.0,2160.0,11878.0,138389.0,3114.0
